rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url,snapshot_date_extracted,arena_elo
121,123.0,Phi-3-Small-8k-Instruct,1102.0,+5/-5,18479,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-small-8k-instruct,2025-01-22,
125,117.0,Granite-3.0-8B-Instruct,1093.0,+7/-8,7003,IBM,Apache 2.0,Unknown,https://huggingface.co/ibm-granite/granite-3.0-8b-instruct,2025-01-22,
128,123.0,OpenChat-3.5-0106,1091.0,+5/-5,12981,OpenChat,Apache-2.0,2024/1,https://huggingface.co/openchat/openchat-3.5-0106,2025-01-22,
129,136.0,Llama-2-70B-chat,1093.0,+3/-3,39634,Meta,Llama 2 Community,2023/7,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf,2025-01-22,
130,128.0,Vicuna-33B,1091.0,+4/-4,22951,LMSYS,Non-commercial,2023/8,https://huggingface.co/lmsys/vicuna-33b-v1.3,2025-01-22,
130,122.0,Snowflake Arctic Instruct,1090.0,+4/-4,34176,Snowflake,Apache 2.0,2024/4,https://www.snowflake.com/blog/arctic-open-efficient-foundation-language-models-snowflake/,2025-01-22,
130,133.0,Starling-LM-7B-alpha,1088.0,+5/-6,10416,UC Berkeley,CC-BY-NC-4.0,2023/11,https://huggingface.co/berkeley-nest/Starling-LM-7B-alpha,2025-01-22,
131,139.0,Nous-Hermes-2-Mixtral-8x7B-DPO,1084.0,+9/-8,3834,NousResearch,Apache-2.0,2024/1,https://huggingface.co/NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,2025-01-22,
131,138.0,NV-Llama2-70B-SteerLM-Chat,1081.0,+10/-8,3637,Nvidia,Llama 2 Community,2023/11,https://huggingface.co/nvidia/Llama2-70B-SteerLM-Chat,2025-01-22,
132,125.0,Gemma-1.1-7B-it,1084.0,+4/-4,25063,Google,Gemma license,2024/2,https://huggingface.co/google/gemma-1.1-7b-it,2025-01-22,
136,138.0,pplx-70B-online,1078.0,+5/-7,6891,Perplexity AI,Proprietary,Online,https://blog.perplexity.ai/blog/introducing-pplx-online-llms,2025-01-22,
136,127.0,DeepSeek-LLM-67B-Chat,1077.0,+8/-7,4987,DeepSeek AI,DeepSeek License,2023/11,https://huggingface.co/deepseek-ai/deepseek-llm-67b-chat,2025-01-22,
136,125.0,OpenChat-3.5,1076.0,+6/-8,8112,OpenChat,Apache-2.0,2023/11,https://huggingface.co/openchat/openchat_3.5,2025-01-22,
137,127.0,OpenHermes-2.5-Mistral-7B,1075.0,+7/-6,5091,NousResearch,Apache-2.0,2023/11,https://huggingface.co/teknium/OpenHermes-2.5-Mistral-7B,2025-01-22,
137,131.0,Granite-3.0-2B-Instruct,1074.0,+8/-8,7192,IBM,Apache 2.0,Unknown,https://huggingface.co/ibm-granite/granite-3.0-2b-instruct,2025-01-22,
138,143.0,Mistral-7B-Instruct-v0.2,1072.0,+4/-4,20056,Mistral,Apache-2.0,2023/12,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2,2025-01-22,
138,143.0,Phi-3-Mini-4K-Instruct-June-24,1071.0,+5/-6,12820,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct,2025-01-22,
138,143.0,Qwen1.5-7B-Chat,1070.0,+7/-9,4869,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5/,2025-01-22,
139,139.0,Dolphin-2.2.1-Mistral-7B,1063.0,+12/-12,1713,Cognitive Computations,Apache-2.0,2023/10,https://huggingface.co/ehartford/dolphin-2.2.1-mistral-7b,2025-01-22,
140,119.0,GPT-3.5-Turbo-1106,1068.0,+4/-5,17031,OpenAI,Proprietary,2021/9,https://platform.openai.com/docs/models/gpt-3-5,2025-01-22,
141,148.0,Phi-3-Mini-4k-Instruct,1066.0,+4/-4,21086,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct,2025-01-22,
141,143.0,SOLAR-10.7B-Instruct-v1.0,1062.0,+8/-9,4288,Upstage AI,CC-BY-NC-4.0,2023/11,https://huggingface.co/upstage/SOLAR-10.7B-Instruct-v1.0,2025-01-22,
145,149.0,Llama-2-13b-chat,1063.0,+4/-4,19737,Meta,Llama 2 Community,2023/7,https://huggingface.co/meta-llama/Llama-2-13b-chat-hf,2025-01-22,
